,0,1,2,3,4,5,6
0,2,You should enjoy going to the library today.,14.0,17.0,220326_001_me.wav,-0.20991073907696675,-0.015578072020667716
1,1," The only question I would, we watch Bridget in.",18.0,21.0,220326_001_me.wav,-0.03109505106656163,0.076000197992468
2,1, That sounds great.,25.0,27.0,220326_001_me.wav,-0.12279369085362028,0.2732923663215231
3,1, Should we bring this?,33.0,35.0,220326_001_me.wav,0.06392546326162782,0.10728784858229433
4,2," Yeah, but they're easier to eat.",38.0,41.0,220326_001_me.wav,-0.2827078271755444,0.1575216657917034
5,1, This is probably because of the season.,42.0,45.0,220326_001_me.wav,-0.1553026368899849,0.3742999748548249
6,1, We shall survive. We shall survive.,48.0,51.0,220326_001_me.wav,-0.06409799700803123,0.11206274403588135
7,2, Here. Cleanse.,70.0,72.0,220326_001_me.wav,-0.13387077117263443,0.1562895986822615
8,3, Library across classroom. If something is walking.,81.0,84.0,220326_001_me.wav,0.012043201810026353,-0.08060854093168279
9,1, I feel good walking outside.,87.0,91.0,220326_001_me.wav,-0.158354575837575,0.27290434741814795
10,1, Suns.,99.0,101.0,220326_001_me.wav,0.00687122590786696,0.30326069657042837
11,0," Unfortunately, I do not know where my keys up.",101.0,104.0,220326_001_me.wav,-0.04494289494383935,-0.009030941487561773
12,0, Host Club.,115.0,116.0,220326_001_me.wav,0.04229910754091517,-0.1352724393264223
13,3," Great love these boxes. I only have to do this so silly, like I hate them, but that was like, so,",137.0,145.0,220326_001_me.wav,-0.005016330224703307,0.009388192263722126
14,2," This one is so funny, so funny.",145.0,149.0,220326_001_me.wav,-0.1438567832024084,0.08049246170819147
15,1, This will work to get us a wake.,150.0,154.0,220326_001_me.wav,0.013101137537222937,0.1333618138129492
16,3," And we did all that. We cleaned up the fridge. We ate, we did everything in like an hour.",154.0,160.0,220326_001_me.wav,-0.06315030628778134,0.03438390840297435
17,3," Perfectamino five, antennas.",165.0,168.0,220326_001_me.wav,0.06447944473928487,-0.029078192309190655
18,3," Because some pie vents in a, yeah.",169.0,172.0,220326_001_me.wav,-0.03118282207976624,0.039199992704222725
19,3," Yeah, I didn't do that for a while, Ono.",192.0,196.0,220326_001_me.wav,0.017998390322666823,-0.09778245711548159
20,3," No, I I just I don't have time to see Lana. See, how do I know I will? I'm getting lots of good. That will, do you like a coffee or something with? I mean, I'll do a coffee with her. That should be like a nice little break at some point. Let me let me text. I see what she's up to cuz she text me. I didn't respond to her last time.",197.0,215.0,220326_001_me.wav,-0.028732030518536032,-0.00888585784237404
21,3, Let's do coffee.,218.0,220.0,220326_001_me.wav,-0.05582688442676341,0.031486410359705994
22,3," Tomorrow, let's your coffee some point tomorrow.",224.0,228.0,220326_001_me.wav,-0.051384461147710454,-0.06202853071046192
23,3, When will you leave?,228.0,231.0,220326_001_me.wav,0.09626845739133733,-0.07534855378884144
24,3," Yeah, I know. That wasn't nothing with my good friends that left us. You also one of my good friends.",232.0,239.0,220326_001_me.wav,-0.17315804864955314,-0.011254481570262001
25,3," There's like a nip, the body human Amy.",245.0,249.0,220326_001_me.wav,0.002865048959703677,0.03868816539753366
26,1, Bring up.,249.0,251.0,220326_001_me.wav,0.056609308285910466,0.26131200729716736
27,3," Yeah, I know. I didn't think that's why I like exactly like all these people like transferred and laughed. Like I enjoyed like everyone that I liked at the school app is turning into a monster.",251.0,267.0,220326_001_me.wav,-0.08153858200225125,0.08075052365587779
28,2," Yeah, I think I am is that so?",269.0,272.0,220326_001_me.wav,-0.150686165002277,0.024713961454006488
29,3," Yeah, I know exactly mean that, that's exactly who he is and he is not. Kind of like a great.",275.0,283.0,220326_001_me.wav,-0.07810173934453306,-0.022199960321494933
30,2, Great like man. She was like slightly. He's not a child though. I think maybe he might be with with his with Haley or something. I'm not sure. But like I'm not sure.,284.0,296.0,220326_001_me.wav,-0.13860208786224257,0.03919085442985807
31,3," Good, I think. But I think they haven't gotten Beyond full minutes cuz I still like very much like he acts like he's a little tough thing like, oh my God, I was so embarrassing. Like I said the wrong, you know, I like it.",297.0,309.0,220326_001_me.wav,-0.01419508554094816,0.04820124068847987
32,3," I know if we will ever like before me like yeah, I know sometime. We just like slouched upon one another.",312.0,319.0,220326_001_me.wav,-0.10698422187185781,-0.0713476592031286
33,4, I'm not really sure we got back. Are you anxious?,325.0,328.0,220326_001_me.wav,0.16510797195235952,0.01725000976860743
34,2," Is exciting, you know, we're going to strive to keep it exciting. When you start slipping back into something, will put that to a halt somehow. Yeah, that's true. For fun out here.",334.0,348.0,220326_001_me.wav,-0.06355089874748267,0.036902288626409985
35,3," I'm sorry. I caused that kick the whole stick. Stick with all know. That's my fault. It's totally up to you. I'm sorry, my love.",348.0,360.0,220326_001_me.wav,0.10667907003454827,-0.046248264628435204
36,3," I hate that lady. Yeah, she's terrible with Penelope's good. Yeah, but like it's kind of strange because like, I feel like they made like everyone in the show like an extremely attractive like every single person and then Penelope. The only one who's not attractive physically, although she's attractive, like, Nancy. Not even know. It's not even about like, it's not a weight. It's it's it's just",364.0,393.0,220326_001_me.wav,-0.060100401763194096,0.04555463990437932
37,3," Like it's like it's like everyone else is like made to be like I got it and up through cat. I mean like I think I mean,",393.0,403.0,220326_001_me.wav,-0.030483317029359205,-0.045265375186448124
38,1," If I gets it, I'm not sure if I like.",404.0,407.0,220326_001_me.wav,-0.12527752275273094,0.0666336891740274
39,2, That's so you really like that guy.,407.0,411.0,220326_001_me.wav,-0.06359732211079581,-0.05905968074625834
40,3," Not, you could not but because of that, because you couldn't would be like so much more.",414.0,421.0,220326_001_me.wav,-0.061034597352446804,-0.04008278697353408
41,4," Oh my God, Kami.",423.0,425.0,220326_001_me.wav,0.16177287185126354,-0.02753288565160951
42,0, We will be.,425.0,426.0,220326_001_me.wav,0.03688255423449772,-0.12840322402576507
43,3," Okay, I'll hold a nice little distance.",427.0,430.0,220326_001_me.wav,0.0707796716522522,0.04478489903768807
44,1," But the thing is, is that like it's so immediately apparent.",431.0,435.0,220326_001_me.wav,-0.020084140907883862,0.17556287246309088
45,3," That way together like we don't say anything to Sofia and she just immediately know you see that you guys are together. Like we didn't touch each other. We didn't say anything because you were just like, yeah, Parish whatever, whatever. And then she was like, sorry that I said, she sorry.",437.0,454.0,220326_001_me.wav,-0.050458848163996615,0.012263039395228874
