,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,Morning.,0.793260395526886,0 days 00:01:13.600000,0 days 00:01:14.500000,04/07/22,220407_001_others.wav
1,"Yes, yeah, okay.",0.8326618075370789,0 days 00:04:06.300000,0 days 00:04:13.300000,04/07/22,220407_001_others.wav
2, Are those?,0.4996063709259033,0 days 00:04:15.700000,0 days 00:04:17.100000,04/07/22,220407_001_others.wav
3, Do you have?,0.8912734389305115,0 days 00:05:06.900000,0 days 00:05:07.700000,04/07/22,220407_001_others.wav
4," Well, I lied.",0.9795807003974915,0 days 00:05:14.200000,0 days 00:05:16.100000,04/07/22,220407_001_others.wav
5, I would take them take them if you need them.,0.9247662425041199,0 days 00:13:24,0 days 00:13:27,04/07/22,220407_001_others.wav
6, And the clock.,0.9179361462593079,0 days 00:13:44.800000,0 days 00:13:45.500000,04/07/22,220407_001_others.wav
7, ATM classes of wasp.,0.5505151152610779,0 days 00:13:51.300000,0 days 00:13:53.200000,04/07/22,220407_001_others.wav
8," So, I was just making some broccoli, some.",0.8148604035377502,0 days 00:17:43.600000,0 days 00:17:47.800000,04/07/22,220407_001_others.wav
9, Any sausages?,0.9407544136047363,0 days 00:17:49.600000,0 days 00:17:53.300000,04/07/22,220407_001_others.wav
10, 60.,0.7736177444458008,0 days 00:18:00.600000,0 days 00:18:01.800000,04/07/22,220407_001_others.wav
11, Listen to it.,0.4381518065929413,0 days 00:18:06,0 days 00:18:07,04/07/22,220407_001_others.wav
12, Broccoli and heck with raspberries?,0.6879081726074219,0 days 00:18:13.500000,0 days 00:18:17.800000,04/07/22,220407_001_others.wav
13, Cold brew.,0.8728082776069641,0 days 00:18:30.600000,0 days 00:18:31.400000,04/07/22,220407_001_others.wav
14," Hello, how are you?",0.8052402138710022,0 days 00:18:33.400000,0 days 00:18:34.100000,04/07/22,220407_001_others.wav
15, It's going to be a hot day in the world.,0.9783919453620911,0 days 00:18:46.300000,0 days 00:18:50.500000,04/07/22,220407_001_others.wav
16, The girl that's going to go there condition.,0.6873457431793213,0 days 00:18:51.900000,0 days 00:18:55.500000,04/07/22,220407_001_others.wav
17, I want to go Coronavirus.,0.8992776870727539,0 days 00:19:02.300000,0 days 00:19:03.300000,04/07/22,220407_001_others.wav
18, Good morning.,0.9697168469429016,0 days 00:19:12.600000,0 days 00:19:13.500000,04/07/22,220407_001_others.wav
19," Look, I have a",0.920775294303894,0 days 00:19:15.500000,0 days 00:19:16.800000,04/07/22,220407_001_others.wav
20," this really for me, but someone family consists of bonds.",0.8929327726364136,0 days 00:19:20.200000,0 days 00:19:26,04/07/22,220407_001_others.wav
21, Almost Brooklyn.,0.7758282423019409,0 days 00:19:31.700000,0 days 00:19:32.500000,04/07/22,220407_001_others.wav
22," like,",0.9481667876243591,0 days 00:19:33.800000,0 days 00:19:34.200000,04/07/22,220407_001_others.wav
23, 10.,0.8168445229530334,0 days 00:19:38.400000,0 days 00:19:39,04/07/22,220407_001_others.wav
24, 2.,0.5123167037963867,0 days 00:19:43.600000,0 days 00:19:44,04/07/22,220407_001_others.wav
25," So hard, it was so hard the whole night.",0.6966153383255005,0 days 00:19:46.600000,0 days 00:19:50.600000,04/07/22,220407_001_others.wav
26, Rocks are so delicious and my bra.,0.818268358707428,0 days 00:19:58.200000,0 days 00:20:02.300000,04/07/22,220407_001_others.wav
27," Broccolini Hampton, broccoli. Me hands that yes.",0.7337014079093933,0 days 00:20:05.400000,0 days 00:20:10.100000,04/07/22,220407_001_others.wav
28, What's a good option?,0.6089640855789185,0 days 00:20:19.700000,0 days 00:20:20.600000,04/07/22,220407_001_others.wav
29," Oh, I have to finish gospel.",0.8452370762825012,0 days 00:20:26,0 days 00:20:29.600000,04/07/22,220407_001_others.wav
30, At 7:50.,0.8346370458602905,0 days 00:20:34.900000,0 days 00:20:38.300000,04/07/22,220407_001_others.wav
31, Everybody. At least I latest him someplace. We can talk.,0.867204487323761,0 days 00:20:43.100000,0 days 00:20:58.200000,04/07/22,220407_001_others.wav
32, Avicii.,0.9375194907188416,0 days 00:22:04.600000,0 days 00:22:06,04/07/22,220407_001_others.wav
33, Movies.,0.9342981576919556,0 days 00:22:08.500000,0 days 00:22:09.200000,04/07/22,220407_001_others.wav
34," Oh, yeah, do so much things.",0.7594704627990723,0 days 00:22:15.300000,0 days 00:22:19.400000,04/07/22,220407_001_others.wav
35," Are you at your, your little girl?",0.5582902431488037,0 days 00:22:23.800000,0 days 00:22:26.800000,04/07/22,220407_001_others.wav
36, You don't.,0.6901577711105347,0 days 00:22:31.800000,0 days 00:22:33.700000,04/07/22,220407_001_others.wav
37, I know that too.,0.5998989939689636,0 days 00:22:50.200000,0 days 00:22:54.500000,04/07/22,220407_001_others.wav
38, It's not a hole.,0.6175955533981323,0 days 00:22:58.300000,0 days 00:22:59.600000,04/07/22,220407_001_others.wav
39, Couches relay kit.,0.39323583245277405,0 days 00:23:02.100000,0 days 00:23:05.100000,04/07/22,220407_001_others.wav
40, Mortar and pestle.,0.9164593815803528,0 days 00:23:20.200000,0 days 00:23:24.200000,04/07/22,220407_001_others.wav
41, Snake Death.,0.7558610439300537,0 days 00:23:45.900000,0 days 00:23:46.800000,04/07/22,220407_001_others.wav
42, What about?,0.9876290559768677,0 days 00:23:54.600000,0 days 00:23:55.500000,04/07/22,220407_001_others.wav
43, Word Gates of Heaven.,0.8038737773895264,0 days 00:23:59.600000,0 days 00:24:00.900000,04/07/22,220407_001_others.wav
44, Or what about?,0.9085200428962708,0 days 00:24:02.800000,0 days 00:24:03.500000,04/07/22,220407_001_others.wav
45, What about you guys?,0.5806605815887451,0 days 00:24:15.600000,0 days 00:24:16.600000,04/07/22,220407_001_others.wav
46, But seriously.,0.839367687702179,0 days 00:24:19.900000,0 days 00:24:21.100000,04/07/22,220407_001_others.wav
47, What have I listened to?,0.7044460773468018,0 days 00:24:53.700000,0 days 00:24:55,04/07/22,220407_001_others.wav
48, Kill me. Fox,0.5917816758155823,0 days 00:25:09.200000,0 days 00:25:10.400000,04/07/22,220407_001_others.wav
49," Oh my God, he's so bad.",0.9311136603355408,0 days 00:25:15.600000,0 days 00:25:20.200000,04/07/22,220407_001_others.wav
50, Who he is?,0.5397403836250305,0 days 00:25:21.700000,0 days 00:25:24.300000,04/07/22,220407_001_others.wav
51, Circus.,0.47083523869514465,0 days 00:25:25.300000,0 days 00:25:26,04/07/22,220407_001_others.wav
52, I need you to get up before I got up looking at a car.,0.8852565884590149,0 days 00:25:55.100000,0 days 00:25:59.900000,04/07/22,220407_001_others.wav
53, It's a store.,0.5792390704154968,0 days 00:26:15.600000,0 days 00:26:16.800000,04/07/22,220407_001_others.wav
54," Wait, one sec.",0.8878739476203918,0 days 00:26:20.100000,0 days 00:26:21,04/07/22,220407_001_others.wav
55," You know, I want to put it.",0.7089983820915222,0 days 00:26:23.300000,0 days 00:26:24.600000,04/07/22,220407_001_others.wav
56, Can't wait for the times. You just want to.,0.9191078543663025,0 days 00:26:41.500000,0 days 00:26:45,04/07/22,220407_001_others.wav
57, I want to be the opposite crazy in this world.,0.853169322013855,0 days 00:26:46.500000,0 days 00:26:54.600000,04/07/22,220407_001_others.wav
58, Lego games.,0.9564183950424194,0 days 00:27:01.100000,0 days 00:27:02.100000,04/07/22,220407_001_others.wav
59," And the thing is, I was in my head. I was like, I",0.9214417934417725,0 days 00:27:18.200000,0 days 00:27:21.700000,04/07/22,220407_001_others.wav
60, Kygo.,0.46801090240478516,0 days 00:27:25.300000,0 days 00:27:26.100000,04/07/22,220407_001_others.wav
61, Come.,0.5124756097793579,0 days 00:27:43.100000,0 days 00:27:43.500000,04/07/22,220407_001_others.wav
62," I thought you going to be like,",0.9518777132034302,0 days 00:27:46.300000,0 days 00:27:47.500000,04/07/22,220407_001_others.wav
63, Yeah.,0.848804771900177,0 days 00:28:08.300000,0 days 00:28:08.700000,04/07/22,220407_001_others.wav
64, Does shohei. Ohtani is with baseball name?,0.8612900376319885,0 days 00:28:12.200000,0 days 00:28:14.800000,04/07/22,220407_001_others.wav
65, Negative.,0.8807487487792969,0 days 00:28:21,0 days 00:28:21.800000,04/07/22,220407_001_others.wav
66, But thank you.,0.5107285380363464,0 days 00:28:30.500000,0 days 00:28:31.600000,04/07/22,220407_001_others.wav
67, Riker.,0.4516091048717499,0 days 00:28:33.200000,0 days 00:28:33.900000,04/07/22,220407_001_others.wav
68, Extremely large.,0.8260725736618042,0 days 00:28:34.800000,0 days 00:28:36,04/07/22,220407_001_others.wav
69, Call Gee.,0.48771971464157104,0 days 00:28:39.800000,0 days 00:28:41.600000,04/07/22,220407_001_others.wav
70, OU sounds like that.,0.883736252784729,0 days 00:28:48.700000,0 days 00:28:51.300000,04/07/22,220407_001_others.wav
71, There's a,0.9048333168029785,0 days 00:28:52.500000,0 days 00:28:53.100000,04/07/22,220407_001_others.wav
72, East Tawas.,0.43887507915496826,0 days 00:28:57.600000,0 days 00:28:58.500000,04/07/22,220407_001_others.wav
73," New, you're asking me which Asian men are about Friday.",0.8704927563667297,0 days 00:29:14.700000,0 days 00:29:18.100000,04/07/22,220407_001_others.wav
74," You have to understand this Asian men and women will always be my blood, you know.",0.915347158908844,0 days 00:29:21.500000,0 days 00:29:25.300000,04/07/22,220407_001_others.wav
75, Tiramisu in.,0.6206618547439575,0 days 00:29:26.700000,0 days 00:29:28,04/07/22,220407_001_others.wav
76, I'm a dreamer.,0.970698356628418,0 days 00:29:32.200000,0 days 00:29:33,04/07/22,220407_001_others.wav
77, Do you know who's Becca?,0.774993896484375,0 days 00:29:36.700000,0 days 00:29:37.500000,04/07/22,220407_001_others.wav
78, Charles.,0.9241265654563904,0 days 00:29:39.300000,0 days 00:29:40,04/07/22,220407_001_others.wav
79, Charlotte. And I thought the front.,0.8791942596435547,0 days 00:29:41.400000,0 days 00:29:46.600000,04/07/22,220407_001_others.wav
80, Lottery Post.,0.3223748505115509,0 days 00:29:56.500000,0 days 00:29:59.500000,04/07/22,220407_001_others.wav
81, Spinning bike.,0.5688203573226929,0 days 00:30:11.800000,0 days 00:30:12.600000,04/07/22,220407_001_others.wav
82," Can I show you another Asian, dude?",0.9560127258300781,0 days 00:30:14.100000,0 days 00:30:16.600000,04/07/22,220407_001_others.wav
83, this is actually scares in the forms of,0.8095841407775879,0 days 00:30:19.400000,0 days 00:30:22,04/07/22,220407_001_others.wav
84, go.,0.9243965148925781,0 days 00:30:33.400000,0 days 00:30:33.800000,04/07/22,220407_001_others.wav
85, It's okay. Maybe he's over it. Now. He's deleted all of that. He's over his body building and now he hasn't gained weight and I know he's over it.,0.9412954449653625,0 days 00:30:38.300000,0 days 00:30:51.400000,04/07/22,220407_001_others.wav
86, What is he thinks? This is actually the scariest thing. He was like obsessive.,0.8389548063278198,0 days 00:30:52.300000,0 days 00:30:56.200000,04/07/22,220407_001_others.wav
87, American back and deleted all of it. His body.,0.7770419716835022,0 days 00:31:03.400000,0 days 00:31:07.200000,04/07/22,220407_001_others.wav
88," I know, I know but there's a hole.",0.8297673463821411,0 days 00:31:10.700000,0 days 00:31:13.400000,04/07/22,220407_001_others.wav
