,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,I hear that.,0.5452653765678406,0 days 00:00:00,0 days 00:00:00.500000,02/23/22,220223_004_me.wav
1," Say hi code. So cold outside outside for so long. I've been recording this interview. I told you this lovely Spanish Professor who brought out like one about? How do I know about by proxy? And we have like a little conversation about the book that he was right in and he would just like telling me that I need. He needs it that I needed to learn Spanish. You just you have to learn Spanish. It's not the same. Whatever you think, what up? Whenever you think it is, it 10 times better in Spanish type thing and I'm like already, it's like him.",0.9382392764091492,0 days 00:00:02.800000,0 days 00:00:32.600000,02/23/22,220223_004_me.wav
2, Alicia.,0.41349226236343384,0 days 00:00:33.500000,0 days 00:00:34.200000,02/23/22,220223_004_me.wav
3, How you feeling? How's your class?,0.9362900257110596,0 days 00:00:39.100000,0 days 00:00:41.100000,02/23/22,220223_004_me.wav
4," if you made a bunch of bad things they say,",0.6639683842658997,0 days 00:00:42.600000,0 days 00:00:44.500000,02/23/22,220223_004_me.wav
5, Thank you.,0.9614534378051758,0 days 00:00:49.100000,0 days 00:00:49.900000,02/23/22,220223_004_me.wav
6, Take off the bolts. Okay. It's so simple.,0.8761098384857178,0 days 00:00:52.700000,0 days 00:00:55.500000,02/23/22,220223_004_me.wav
7, I came by to support you.,0.91119784116745,0 days 00:00:58.500000,0 days 00:00:59.900000,02/23/22,220223_004_me.wav
8, It's the toxic relationship. What do they do?,0.7906599044799805,0 days 00:01:03.500000,0 days 00:01:06,02/23/22,220223_004_me.wav
9," Yeah, I like the",0.7568391561508179,0 days 00:01:10.100000,0 days 00:01:11.300000,02/23/22,220223_004_me.wav
10, a sec.,0.5683478713035583,0 days 00:01:15.700000,0 days 00:01:17.400000,02/23/22,220223_004_me.wav
11," Yeah, but in your pocket.",0.8002298474311829,0 days 00:01:20.200000,0 days 00:01:23,02/23/22,220223_004_me.wav
12," Guys, this really cool.",0.6328099966049194,0 days 00:01:31,0 days 00:01:32,02/23/22,220223_004_me.wav
13, In the sunshine. Oh my God.,0.9315462112426758,0 days 00:01:37.200000,0 days 00:01:39.100000,02/23/22,220223_004_me.wav
14, I see that cool.,0.44097208976745605,0 days 00:01:41.100000,0 days 00:01:42,02/23/22,220223_004_me.wav
15," Yeah, it was talking to you, too.",0.6778644919395447,0 days 00:01:43.900000,0 days 00:01:47,02/23/22,220223_004_me.wav
16, I guess that you need to go to Daya.,0.8383234739303589,0 days 00:01:48.200000,0 days 00:01:49.800000,02/23/22,220223_004_me.wav
