,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,When I drove you should live would turn in time. I put it. I literally that is like,0.8704640865325928,0 days 00:00:00.100000,0 days 00:00:07.500000,02/24/22,220224_001_others.wav
1, Ivanhoe.,0.5958946347236633,0 days 00:00:37,0 days 00:00:37.800000,02/24/22,220224_001_others.wav
2, I tried.,0.8364951610565186,0 days 00:00:41,0 days 00:00:41.900000,02/24/22,220224_001_others.wav
3," Evil, leafy me.",0.5909275412559509,0 days 00:00:44,0 days 00:00:46.400000,02/24/22,220224_001_others.wav
4, What?,0.9470695853233337,0 days 00:00:51.300000,0 days 00:00:51.900000,02/24/22,220224_001_others.wav
5, Maybe we.,0.8183929324150085,0 days 00:01:33.700000,0 days 00:01:35.100000,02/24/22,220224_001_others.wav
6, We finish everything though.,0.722279965877533,0 days 00:01:46.700000,0 days 00:01:49.100000,02/24/22,220224_001_others.wav
7, They would be.,0.9770438075065613,0 days 00:02:10.700000,0 days 00:02:11.400000,02/24/22,220224_001_others.wav
8, Live to.,0.6982970237731934,0 days 00:02:19.300000,0 days 00:02:20,02/24/22,220224_001_others.wav
9," I got a very small amount of weed and I say,",0.9689769744873047,0 days 00:02:22.500000,0 days 00:02:25,02/24/22,220224_001_others.wav
10, Sad that this dog.,0.8885798454284668,0 days 00:03:00.200000,0 days 00:03:02.200000,02/24/22,220224_001_others.wav
11, Triangle.,0.43927478790283203,0 days 00:03:15.800000,0 days 00:03:16.800000,02/24/22,220224_001_others.wav
12, He was crying.,0.5037286877632141,0 days 00:03:18.700000,0 days 00:03:19.600000,02/24/22,220224_001_others.wav
13," You know, Anthony came in.",0.7816603183746338,0 days 00:03:21.200000,0 days 00:03:22.500000,02/24/22,220224_001_others.wav
14, Baby.,0.6517553925514221,0 days 00:03:27.300000,0 days 00:03:28.400000,02/24/22,220224_001_others.wav
15, as soon as I stop all the animals in our,0.7889455556869507,0 days 00:03:45.200000,0 days 00:03:47.900000,02/24/22,220224_001_others.wav
16, Daniela.,0.29845669865608215,0 days 00:03:49.100000,0 days 00:03:49.800000,02/24/22,220224_001_others.wav
17," Oh, he's sound snacks.",0.7042815685272217,0 days 00:04:04.500000,0 days 00:04:06.300000,02/24/22,220224_001_others.wav
18, Tell your doctor.,0.5221244692802429,0 days 00:04:10.500000,0 days 00:04:11.100000,02/24/22,220224_001_others.wav
19, Food.,0.9621813893318176,0 days 00:04:21,0 days 00:04:21.400000,02/24/22,220224_001_others.wav
20, No.,0.7871394753456116,0 days 00:04:54.800000,0 days 00:04:55.400000,02/24/22,220224_001_others.wav
21," Are enough animals, not bad.",0.7415328621864319,0 days 00:04:57.400000,0 days 00:04:59.700000,02/24/22,220224_001_others.wav
22, Pink dogs.,0.7210537791252136,0 days 00:05:10.700000,0 days 00:05:11.600000,02/24/22,220224_001_others.wav
23, Truth.,0.23885655403137207,0 days 00:05:14.900000,0 days 00:05:15.600000,02/24/22,220224_001_others.wav
24," Oh, yeah.",0.8485257625579834,0 days 00:05:40.400000,0 days 00:05:41,02/24/22,220224_001_others.wav
25, I didn't go.,0.9876291155815125,0 days 00:05:44,0 days 00:05:44.800000,02/24/22,220224_001_others.wav
26, I bet a lot of people.,0.9641878008842468,0 days 00:05:51.100000,0 days 00:05:52,02/24/22,220224_001_others.wav
27, Why can the dog sleep in?,0.6378569602966309,0 days 00:06:26,0 days 00:06:27.900000,02/24/22,220224_001_others.wav
28, I'm going to like crushing.,0.7379165887832642,0 days 00:06:30.200000,0 days 00:06:31.600000,02/24/22,220224_001_others.wav
29, Turn on phone.,0.37937185168266296,0 days 00:06:34.900000,0 days 00:06:35.800000,02/24/22,220224_001_others.wav
30, You look so sad.,0.9061019420623779,0 days 00:06:59.800000,0 days 00:07:01.600000,02/24/22,220224_001_others.wav
