,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,Hur längesen är åldersgräns för Adidas,0.6157358288764954,0 days 00:00:07.200000,0 days 00:00:09.600000,03/08/22,220308_002_others.wav
1, Atlas,0.08152323961257935,0 days 00:00:22.300000,0 days 00:00:23.700000,03/08/22,220308_002_others.wav
2," New member night and ground and Alex bilder, tack.",0.5951164960861206,0 days 00:01:19.500000,0 days 00:01:27.100000,03/08/22,220308_002_others.wav
3, var i säng,0.3802352845668793,0 days 00:01:30,0 days 00:01:34.400000,03/08/22,220308_002_others.wav
4, Night King so sorry and,0.7991646528244019,0 days 00:02:17.500000,0 days 00:02:33.500000,03/08/22,220308_002_others.wav
5, Du kan göra mig en tjänst Att fort kör jag.,0.4392164647579193,0 days 00:02:50,0 days 00:03:03.200000,03/08/22,220308_002_others.wav
6, Tarzan swedish,0.39910316467285156,0 days 00:03:06.800000,0 days 00:03:32.800000,03/08/22,220308_002_others.wav
7, Thai,0.4569064974784851,0 days 00:03:44.400000,0 days 00:03:54.200000,03/08/22,220308_002_others.wav
8, köp,0.16112184524536133,0 days 00:03:59.200000,0 days 00:04:01,03/08/22,220308_002_others.wav
9, olika skate,0.11711103469133377,0 days 00:04:05.100000,0 days 00:04:06.300000,03/08/22,220308_002_others.wav
10, Ja.,0.1636197715997696,0 days 00:04:23.600000,0 days 00:04:24.500000,03/08/22,220308_002_others.wav
11, usch,0.4434712529182434,0 days 00:04:31.700000,0 days 00:04:33.100000,03/08/22,220308_002_others.wav
12, 12,0.608303964138031,0 days 00:05:05.700000,0 days 00:05:06.600000,03/08/22,220308_002_others.wav
13, I have like No I don't really know.,0.9104541540145874,0 days 00:05:20.200000,0 days 00:05:35.900000,03/08/22,220308_002_others.wav
14," tune hit, Nej",0.4805830717086792,0 days 00:05:49.400000,0 days 00:06:03.900000,03/08/22,220308_002_others.wav
15, tried,0.26267898082733154,0 days 00:06:16.100000,0 days 00:06:20.700000,03/08/22,220308_002_others.wav
16, aiai,0.27994799613952637,0 days 00:06:22.400000,0 days 00:06:23.700000,03/08/22,220308_002_others.wav
17, I am sorry.,0.9205990433692932,0 days 00:06:26.200000,0 days 00:06:29.500000,03/08/22,220308_002_others.wav
18, I know,0.6821498870849609,0 days 00:06:32.400000,0 days 00:06:34.200000,03/08/22,220308_002_others.wav
19, musik angry,0.637033224105835,0 days 00:06:38.200000,0 days 00:06:40,03/08/22,220308_002_others.wav
20, I have like,0.7836000323295593,0 days 00:06:47.100000,0 days 00:06:48.500000,03/08/22,220308_002_others.wav
21, okej.,0.4351404905319214,0 days 00:06:53.200000,0 days 00:06:54.300000,03/08/22,220308_002_others.wav
22, girls,0.45533326268196106,0 days 00:07:30.800000,0 days 00:07:33.300000,03/08/22,220308_002_others.wav
23, Okej.,0.8645380139350891,0 days 00:08:02.300000,0 days 00:08:04.900000,03/08/22,220308_002_others.wav
24, How did you die?,0.5804405212402344,0 days 00:08:13.200000,0 days 00:08:25.900000,03/08/22,220308_002_others.wav
25, Okej.,0.9220046997070312,0 days 00:08:33.700000,0 days 00:08:34.600000,03/08/22,220308_002_others.wav
26, alika,0.24943988025188446,0 days 00:08:37.700000,0 days 00:08:39.400000,03/08/22,220308_002_others.wav
27, Kent,0.23433071374893188,0 days 00:08:47.100000,0 days 00:08:49.700000,03/08/22,220308_002_others.wav
28, likely,0.5035971403121948,0 days 00:08:51.200000,0 days 00:08:56,03/08/22,220308_002_others.wav
