,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,Butthole itch.,0.5755562782287598,0 days 00:01:57.200000,0 days 00:01:58.200000,04/01/22,220401_002_others.wav
1, Sorry.,0.9659645557403564,0 days 00:02:28.700000,0 days 00:02:29.200000,04/01/22,220401_002_others.wav
2, Los Angeles.,0.9777500629425049,0 days 00:02:49.200000,0 days 00:02:50.400000,04/01/22,220401_002_others.wav
3, All.,0.49400752782821655,0 days 00:02:53,0 days 00:02:53.500000,04/01/22,220401_002_others.wav
4, I don't know why.,0.9452617168426514,0 days 00:02:55,0 days 00:02:58.500000,04/01/22,220401_002_others.wav
5, You have people who rescued a group of plus pain under?,0.7047654986381531,0 days 00:03:00.900000,0 days 00:03:06.200000,04/01/22,220401_002_others.wav
6, Noah due-diligence off of walls.,0.7017485499382019,0 days 00:03:15.400000,0 days 00:03:17.800000,04/01/22,220401_002_others.wav
7, And I've already yet.,0.8550209999084473,0 days 00:03:36.200000,0 days 00:03:37.700000,04/01/22,220401_002_others.wav
8," 50 gr. Ta go down to earth people, real life.",0.6816002130508423,0 days 00:03:39.400000,0 days 00:03:44.800000,04/01/22,220401_002_others.wav
9, Alcohol. Stupid height.,0.8865482807159424,0 days 00:03:50.200000,0 days 00:03:53.100000,04/01/22,220401_002_others.wav
10, What problems does it sells none?,0.891171395778656,0 days 00:03:54.600000,0 days 00:03:56.900000,04/01/22,220401_002_others.wav
11, Singing.,0.857758104801178,0 days 00:04:04.700000,0 days 00:04:05.500000,04/01/22,220401_002_others.wav
12," Business site. Papa, are they in your week of our school? Take off?",0.7499504089355469,0 days 00:04:18.200000,0 days 00:04:43.500000,04/01/22,220401_002_others.wav
13, Yard shooting today.,0.8188613057136536,0 days 00:04:44.500000,0 days 00:04:47,04/01/22,220401_002_others.wav
14, The Sugar Factory?,0.6714391708374023,0 days 00:04:51,0 days 00:04:51.600000,04/01/22,220401_002_others.wav
15," Hey Bo. Diddley, Bop.",0.4916800558567047,0 days 00:04:55.900000,0 days 00:04:57.500000,04/01/22,220401_002_others.wav
16," If I shoot them, cool lump. Sum it down to earth, Papa.",0.7236518859863281,0 days 00:05:05.300000,0 days 00:05:11.800000,04/01/22,220401_002_others.wav
17, Isaiah.,0.8487572073936462,0 days 00:05:13.500000,0 days 00:05:15.600000,04/01/22,220401_002_others.wav
18, Papa a duct tape.,0.6733881235122681,0 days 00:05:20.900000,0 days 00:05:22.800000,04/01/22,220401_002_others.wav
19, You have anything.,0.6589712500572205,0 days 00:05:24.600000,0 days 00:05:25.500000,04/01/22,220401_002_others.wav
20, Do I have to get ready? Papa?,0.8900299668312073,0 days 00:05:27.200000,0 days 00:05:29.600000,04/01/22,220401_002_others.wav
21," Now, I want you.",0.919299840927124,0 days 00:05:34.600000,0 days 00:05:35.500000,04/01/22,220401_002_others.wav
22, Yeah.,0.2609601616859436,0 days 00:05:39.400000,0 days 00:05:39.900000,04/01/22,220401_002_others.wav
23," I take my you do will bought us some all, all your, all you have.",0.7502566576004028,0 days 00:05:48.400000,0 days 00:05:52,04/01/22,220401_002_others.wav
24, I know you're kind of connection.,0.6930577158927917,0 days 00:05:54.500000,0 days 00:05:55.900000,04/01/22,220401_002_others.wav
25, Nothing.,0.2660703957080841,0 days 00:06:06,0 days 00:06:06.700000,04/01/22,220401_002_others.wav
26, Be.,0.3778432607650757,0 days 00:06:07.800000,0 days 00:06:08.200000,04/01/22,220401_002_others.wav
27, Google.,0.8017647862434387,0 days 00:06:09.800000,0 days 00:06:10.200000,04/01/22,220401_002_others.wav
28," Francisco, San Francisco.",0.8017341494560242,0 days 00:06:22.700000,0 days 00:06:28.700000,04/01/22,220401_002_others.wav
29," Turn K on Pine back to the amount or should you think about, you know?",0.6048698425292969,0 days 00:06:36.600000,0 days 00:06:41.200000,04/01/22,220401_002_others.wav
30, Okay.,0.8927164077758789,0 days 00:06:47.900000,0 days 00:06:48.500000,04/01/22,220401_002_others.wav
31, You got the wrong.,0.8974512815475464,0 days 00:06:55.100000,0 days 00:06:55.800000,04/01/22,220401_002_others.wav
32, Amazing.,0.47382864356040955,0 days 00:06:58.400000,0 days 00:07:00,04/01/22,220401_002_others.wav
33, Dormant.,0.7783777713775635,0 days 00:07:04.600000,0 days 00:07:05.300000,04/01/22,220401_002_others.wav
34, Brian Andrew. Love Simon.,0.7139331698417664,0 days 00:07:07.200000,0 days 00:07:13.300000,04/01/22,220401_002_others.wav
35, Ghost Rider.,0.30315250158309937,0 days 00:07:14.700000,0 days 00:07:15.700000,04/01/22,220401_002_others.wav
36, Willard.,0.8397550582885742,0 days 00:07:19.700000,0 days 00:07:20.600000,04/01/22,220401_002_others.wav
37, FaceTime.,0.5105882883071899,0 days 00:07:31.700000,0 days 00:07:32.300000,04/01/22,220401_002_others.wav
38," nothing for the Billy LS, 460",0.6959403157234192,0 days 00:07:38.300000,0 days 00:07:40.900000,04/01/22,220401_002_others.wav
39, What am I?,0.9542822241783142,0 days 00:07:48.200000,0 days 00:07:48.800000,04/01/22,220401_002_others.wav
40, We're not going to who?,0.627588152885437,0 days 00:07:49.700000,0 days 00:07:50.800000,04/01/22,220401_002_others.wav
41, Among the most youth.,0.914075493812561,0 days 00:07:52.700000,0 days 00:07:58.600000,04/01/22,220401_002_others.wav
42, Used used used.,0.3385009765625,0 days 00:08:00.200000,0 days 00:08:04,04/01/22,220401_002_others.wav
43, Play Passion. Mira all naturally.,0.7531629800796509,0 days 00:08:06.700000,0 days 00:08:10.500000,04/01/22,220401_002_others.wav
44, Somehow the Limitless blue.,0.6243122220039368,0 days 00:08:11.400000,0 days 00:08:14,04/01/22,220401_002_others.wav
45, I'm a fuel pump.,0.5672666430473328,0 days 00:08:17.200000,0 days 00:08:18.100000,04/01/22,220401_002_others.wav
46, Dial head up. I still drive it though.,0.6710303425788879,0 days 00:08:21.500000,0 days 00:08:24.900000,04/01/22,220401_002_others.wav
47, Love you.,0.691627562046051,0 days 00:08:29.600000,0 days 00:08:32.300000,04/01/22,220401_002_others.wav
48, And of course it to her do Heaney.,0.5966187119483948,0 days 00:08:33.500000,0 days 00:08:36.400000,04/01/22,220401_002_others.wav
49," What's to do, hear me?",0.5920888185501099,0 days 00:08:37.700000,0 days 00:08:38.900000,04/01/22,220401_002_others.wav
50," Daddy, Arvada.",0.654263973236084,0 days 00:08:40,0 days 00:08:41.300000,04/01/22,220401_002_others.wav
51, What's the weather today?,0.788230299949646,0 days 00:08:53.400000,0 days 00:08:54.500000,04/01/22,220401_002_others.wav
52, Santa Cruz.,0.808358907699585,0 days 00:09:31.700000,0 days 00:09:33.400000,04/01/22,220401_002_others.wav
53, That's right.,0.6005542278289795,0 days 00:09:55.700000,0 days 00:09:57.600000,04/01/22,220401_002_others.wav
54, Right.,0.4193125069141388,0 days 00:10:04.100000,0 days 00:10:04.700000,04/01/22,220401_002_others.wav
55, The property in Norm 2%.,0.8109754323959351,0 days 00:10:09.400000,0 days 00:10:11.500000,04/01/22,220401_002_others.wav
56, Southeast roster.,0.6599751710891724,0 days 00:10:15.500000,0 days 00:10:18,04/01/22,220401_002_others.wav
57, Different Elsa.,0.7182654142379761,0 days 00:10:19.400000,0 days 00:10:20.500000,04/01/22,220401_002_others.wav
58, Did Japan blog?,0.7124371528625488,0 days 00:10:22.300000,0 days 00:10:24.700000,04/01/22,220401_002_others.wav
59, Elite real.,0.7506411075592041,0 days 00:10:31.200000,0 days 00:10:32.200000,04/01/22,220401_002_others.wav
60, The amazing from the yard and Lourdes Leon song.,0.6907631158828735,0 days 00:10:50.300000,0 days 00:10:54.600000,04/01/22,220401_002_others.wav
61, Subnautica.,0.5617233514785767,0 days 00:10:56.700000,0 days 00:10:57.700000,04/01/22,220401_002_others.wav
62, Play the song. Is this nevadan performance?,0.7977142333984375,0 days 00:11:22.200000,0 days 00:11:24.600000,04/01/22,220401_002_others.wav
63, Bill.,0.8191511631011963,0 days 00:11:30.700000,0 days 00:11:31.300000,04/01/22,220401_002_others.wav
64, Parking.,0.6746530532836914,0 days 00:11:32.500000,0 days 00:11:33.200000,04/01/22,220401_002_others.wav
65, Overnight lending point that I don't need more money.,0.6922018527984619,0 days 00:11:35.800000,0 days 00:11:39.300000,04/01/22,220401_002_others.wav
66, I don't need more money now.,0.9344701766967773,0 days 00:11:41,0 days 00:11:42.800000,04/01/22,220401_002_others.wav
67, Give to others.,0.8890172839164734,0 days 00:11:43.800000,0 days 00:11:46.500000,04/01/22,220401_002_others.wav
68, Vikings news.,0.7384295463562012,0 days 00:12:01.900000,0 days 00:12:02.800000,04/01/22,220401_002_others.wav
69, What's up today or not?,0.7756372690200806,0 days 00:12:04.600000,0 days 00:12:09,04/01/22,220401_002_others.wav
70, Medical.,0.30298489332199097,0 days 00:12:10.800000,0 days 00:12:13,04/01/22,220401_002_others.wav
71, Yahoo messenger.,0.563317060470581,0 days 00:12:22.200000,0 days 00:12:23.200000,04/01/22,220401_002_others.wav
72, So I got to get up for sure. When I come home by 2 after it's okay. It was I'm coming in tomorrow in the evening generation for the bleed in Norm of the North.,0.853805422782898,0 days 00:12:26.600000,0 days 00:12:43.400000,04/01/22,220401_002_others.wav
73," Call Karen, Otto.",0.7694817185401917,0 days 00:12:58.500000,0 days 00:13:00.200000,04/01/22,220401_002_others.wav
74," In aunt, phiz daughter.",0.8244072794914246,0 days 00:13:02.600000,0 days 00:13:04.100000,04/01/22,220401_002_others.wav
75, Dunk tank in the middle of an City shouldn't exist.,0.8522473573684692,0 days 00:13:05.700000,0 days 00:13:09.100000,04/01/22,220401_002_others.wav
76, The middle of a city named Sade.,0.7502210736274719,0 days 00:13:10.200000,0 days 00:13:12.500000,04/01/22,220401_002_others.wav
77, The heart of Africa showing his boot for golf then.,0.8804659843444824,0 days 00:13:13.800000,0 days 00:13:15.900000,04/01/22,220401_002_others.wav
78, Price of been the hottest housing.,0.7881369590759277,0 days 00:13:18.600000,0 days 00:13:23.600000,04/01/22,220401_002_others.wav
79," Is stealing stuff from today. To tell you, I'm the hog.",0.726553738117218,0 days 00:13:31.500000,0 days 00:13:45.400000,04/01/22,220401_002_others.wav
80," Sure, let's send it.",0.5087069272994995,0 days 00:13:51.100000,0 days 00:13:52.900000,04/01/22,220401_002_others.wav
81, One third of that.,0.7822600603103638,0 days 00:13:54,0 days 00:13:55.100000,04/01/22,220401_002_others.wav
82, I got it at the yard. Hughes development. Papa papa. Papa.,0.7898897528648376,0 days 00:14:01,0 days 00:14:11.900000,04/01/22,220401_002_others.wav
83, Rights.,0.8582225441932678,0 days 00:14:21.600000,0 days 00:14:22.700000,04/01/22,220401_002_others.wav
84, Are y'all bum at?,0.3144564926624298,0 days 00:14:26.500000,0 days 00:14:27.600000,04/01/22,220401_002_others.wav
85, The forest and the album at the physical walls.,0.930169939994812,0 days 00:14:28.500000,0 days 00:14:34.500000,04/01/22,220401_002_others.wav
86, The bat Prattville that song.,0.8291707038879395,0 days 00:14:48,0 days 00:14:49.700000,04/01/22,220401_002_others.wav
87, Open up.,0.6281360387802124,0 days 00:14:53.100000,0 days 00:15:06,04/01/22,220401_002_others.wav
88, Provide the most total.,0.4889981746673584,0 days 00:15:13.900000,0 days 00:15:27.600000,04/01/22,220401_002_others.wav
89," Another station man. Trumpet, and Man song. Papa",0.8247582912445068,0 days 00:15:29.300000,0 days 00:15:33.100000,04/01/22,220401_002_others.wav
90, Mexican.,0.9247965812683105,0 days 00:15:35.400000,0 days 00:15:36.200000,04/01/22,220401_002_others.wav
91," Don con, sea salt.",0.5498173236846924,0 days 00:15:39.500000,0 days 00:15:41.200000,04/01/22,220401_002_others.wav
92," Definitely got to meet that, man.",0.6945995688438416,0 days 00:15:46.400000,0 days 00:15:48,04/01/22,220401_002_others.wav
93," Mama, be excited. All the notes also announced that they both on the same team on Monday.",0.9512049555778503,0 days 00:15:51.900000,0 days 00:16:16.600000,04/01/22,220401_002_others.wav
94, So You Don't Own Me.,0.8209320306777954,0 days 00:16:17.700000,0 days 00:16:19.200000,04/01/22,220401_002_others.wav
95, Stamford Stamford.,0.4912111759185791,0 days 00:16:28,0 days 00:16:30.400000,04/01/22,220401_002_others.wav
96, Who knows the ham?,0.6381605863571167,0 days 00:16:34.700000,0 days 00:16:35.600000,04/01/22,220401_002_others.wav
97, Formal bra.,0.7196722030639648,0 days 00:16:37,0 days 00:16:37.900000,04/01/22,220401_002_others.wav
98," Homeland, Mandy Patinkin is coming together.",0.8570931553840637,0 days 00:16:39.200000,0 days 00:16:52.700000,04/01/22,220401_002_others.wav
99, Athena medical out your father. And I will make you a crazy.,0.7815781235694885,0 days 00:16:54.400000,0 days 00:16:57.700000,04/01/22,220401_002_others.wav
100, Don't have nobody to make racism wrong and harder and harder size. Millions and millions on some comedy music from India.,0.734818696975708,0 days 00:16:58.900000,0 days 00:17:40,04/01/22,220401_002_others.wav
101, 5.,0.8902708888053894,0 days 00:17:42.900000,0 days 00:17:43.500000,04/01/22,220401_002_others.wav
102, Eras.,0.3929792046546936,0 days 00:17:44.600000,0 days 00:17:45.500000,04/01/22,220401_002_others.wav
103, The store to buy at the store de Papa.,0.44340378046035767,0 days 00:17:50,0 days 00:17:51.600000,04/01/22,220401_002_others.wav
104, Paw Patrol songs.,0.9383223652839661,0 days 00:17:54.500000,0 days 00:17:56.500000,04/01/22,220401_002_others.wav
105, White Nordic cases tomorrow in notes.,0.9014509320259094,0 days 00:18:00.700000,0 days 00:18:04.300000,04/01/22,220401_002_others.wav
106," Papa horrible, rape case.",0.9124723076820374,0 days 00:18:05.700000,0 days 00:18:09,04/01/22,220401_002_others.wav
107," Sorry. I mean, in English.",0.8369660377502441,0 days 00:18:12.800000,0 days 00:18:15.600000,04/01/22,220401_002_others.wav
108, At the Benjamin Moody.,0.7724084854125977,0 days 00:18:19,0 days 00:18:20.400000,04/01/22,220401_002_others.wav
109, Tennessee map.,0.23057925701141357,0 days 00:18:23.700000,0 days 00:18:24.600000,04/01/22,220401_002_others.wav
110, He went and stood in this area.,0.6355273127555847,0 days 00:18:29.600000,0 days 00:18:32.200000,04/01/22,220401_002_others.wav
111, Papa.,0.9281154870986938,0 days 00:18:40.600000,0 days 00:18:42.400000,04/01/22,220401_002_others.wav
112, Defense.,0.8479138612747192,0 days 00:18:43.600000,0 days 00:18:44.300000,04/01/22,220401_002_others.wav
113, Play Max movie Indian.,0.6586176156997681,0 days 00:18:45.700000,0 days 00:18:47.900000,04/01/22,220401_002_others.wav
114," We got off hiking, mountain biking.",0.7462928295135498,0 days 00:19:07,0 days 00:19:23.300000,04/01/22,220401_002_others.wav
115," Let me know, dude.",0.9259430170059204,0 days 00:19:32.800000,0 days 00:19:34.900000,04/01/22,220401_002_others.wav
116," If we have attempted address book, value on a rotten, nudity.",0.8534452319145203,0 days 00:19:37.300000,0 days 00:19:52.100000,04/01/22,220401_002_others.wav
117," David darling, drink some beer. Messa.",0.5338950753211975,0 days 00:19:58.500000,0 days 00:20:24,04/01/22,220401_002_others.wav
118," Bother your dog Snapchat, t-ball.",0.7147685885429382,0 days 00:20:25.600000,0 days 00:20:41.100000,04/01/22,220401_002_others.wav
119," Phoenix, a swim spa.",0.4373263716697693,0 days 00:20:47.600000,0 days 00:20:49.100000,04/01/22,220401_002_others.wav
120, Yeah.,0.8124154806137085,0 days 00:21:18.800000,0 days 00:21:19.200000,04/01/22,220401_002_others.wav
121, The Indian Bingo Casino.,0.8440737724304199,0 days 00:21:20.500000,0 days 00:21:21.800000,04/01/22,220401_002_others.wav
122, Garden.,0.5070049166679382,0 days 00:21:26.100000,0 days 00:21:26.800000,04/01/22,220401_002_others.wav
123, Davenport.,0.9695298671722412,0 days 00:21:28,0 days 00:21:29,04/01/22,220401_002_others.wav
124, Yacht the best. The most amount of a good loan stance. Are y'all by Indian sari?,0.8755769729614258,0 days 00:21:37.300000,0 days 00:21:44.400000,04/01/22,220401_002_others.wav
125, That man.,0.6043154001235962,0 days 00:21:48.700000,0 days 00:21:49.700000,04/01/22,220401_002_others.wav
126, Michael off.,0.5260710716247559,0 days 00:21:53.100000,0 days 00:21:54.200000,04/01/22,220401_002_others.wav
127, The growth of the Mountain Road.,0.6448689103126526,0 days 00:22:05.900000,0 days 00:22:10.600000,04/01/22,220401_002_others.wav
128," So, what today?",0.2867369055747986,0 days 00:22:19.600000,0 days 00:22:21.500000,04/01/22,220401_002_others.wav
129, Wii for sale.,0.6389737725257874,0 days 00:22:29.700000,0 days 00:22:30.400000,04/01/22,220401_002_others.wav
130, New York.,0.9439165592193604,0 days 00:22:37.700000,0 days 00:22:40.600000,04/01/22,220401_002_others.wav
131, Delta Community customer at the airport.,0.6020419001579285,0 days 00:22:58.800000,0 days 00:23:02.800000,04/01/22,220401_002_others.wav
132," Tomorrow, we do. You free up to you.",0.7651765942573547,0 days 00:23:05.900000,0 days 00:23:11.300000,04/01/22,220401_002_others.wav
133, Bombardier powerful.,0.719594419002533,0 days 00:23:12.800000,0 days 00:23:26.300000,04/01/22,220401_002_others.wav
134, All countries. Are y'all busy?,0.8437730073928833,0 days 00:23:28.400000,0 days 00:23:30.300000,04/01/22,220401_002_others.wav
135, Talk to Tom about to pull up so I can come for a walk.,0.6176228523254395,0 days 00:23:34.100000,0 days 00:23:37.700000,04/01/22,220401_002_others.wav
136, Exit Realty.,0.9271445274353027,0 days 00:23:38.700000,0 days 00:23:39.700000,04/01/22,220401_002_others.wav
137, Your body.,0.6315884590148926,0 days 00:23:51,0 days 00:23:52.800000,04/01/22,220401_002_others.wav
138, Your Harley is again.,0.829582691192627,0 days 00:23:56.500000,0 days 00:23:57.900000,04/01/22,220401_002_others.wav
139, Papa John's on my way to Santa Monica.,0.6954697966575623,0 days 00:24:06.200000,0 days 00:24:22.600000,04/01/22,220401_002_others.wav
140," The bar shot, You song.",0.7589200735092163,0 days 00:24:25.300000,0 days 00:24:26.700000,04/01/22,220401_002_others.wav
141, How do you do a glitch on Decatur? Google better?,0.8477621078491211,0 days 00:24:30.800000,0 days 00:24:33.900000,04/01/22,220401_002_others.wav
142," That he is not to let him stew Transformer. Team. Crossroads time with covid-19. That I can't be sad after the explosion that mean. I mean, I mean,",0.7534899711608887,0 days 00:24:38.100000,0 days 00:25:00,04/01/22,220401_002_others.wav
143, I am no the chance to meet you about it tomorrow.,0.712619960308075,0 days 00:25:02.200000,0 days 00:25:05.200000,04/01/22,220401_002_others.wav
144, Get on by the neck.,0.7553448677062988,0 days 00:25:07.200000,0 days 00:25:08.400000,04/01/22,220401_002_others.wav
145, I'm bored.,0.7565752267837524,0 days 00:25:16.100000,0 days 00:25:18,04/01/22,220401_002_others.wav
146," Do fish die. If I'm going in to this time, you're not the food from the Tree of uremia.",0.6136373281478882,0 days 00:25:20.100000,0 days 00:25:24.700000,04/01/22,220401_002_others.wav
147, They didn't come in tonight to put together.,0.57876056432724,0 days 00:25:27.400000,0 days 00:25:29.100000,04/01/22,220401_002_others.wav
148, Papa.,0.8827579021453857,0 days 00:25:38.300000,0 days 00:25:52.500000,04/01/22,220401_002_others.wav
149, Accused.,0.5612418055534363,0 days 00:26:02.900000,0 days 00:26:03.700000,04/01/22,220401_002_others.wav
150, Duck. You're shining like.,0.726189374923706,0 days 00:26:14,0 days 00:26:15.100000,04/01/22,220401_002_others.wav
151," Yes, ma'am.",0.6487986445426941,0 days 00:26:16.800000,0 days 00:26:17.500000,04/01/22,220401_002_others.wav
152, The atom.,0.5563204288482666,0 days 00:26:20.300000,0 days 00:26:22.800000,04/01/22,220401_002_others.wav
153, Don't you do something?,0.8645056486129761,0 days 00:26:24.300000,0 days 00:26:25.600000,04/01/22,220401_002_others.wav
154, Malabar.,0.47889044880867004,0 days 00:26:34.500000,0 days 00:26:35.300000,04/01/22,220401_002_others.wav
155, The hide and delete.,0.8944752216339111,0 days 00:26:48.400000,0 days 00:26:52.300000,04/01/22,220401_002_others.wav
156, Hodor.,0.42939820885658264,0 days 00:27:00.600000,0 days 00:27:02.900000,04/01/22,220401_002_others.wav
157, What are they called?,0.8531607389450073,0 days 00:27:04,0 days 00:27:08.900000,04/01/22,220401_002_others.wav
158, Phone number for roots.,0.9316609501838684,0 days 00:27:12,0 days 00:27:13.900000,04/01/22,220401_002_others.wav
159, SWA.,0.2822439670562744,0 days 00:27:15.500000,0 days 00:27:16,04/01/22,220401_002_others.wav
