,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,And so I begin.,0.826274037361145,0 days 00:00:01.600000,0 days 00:00:02.500000,11/18/21,211118_001_me.wav
1, Just before I was speaking about something. I really want to make with. I speak to myself consistently. I'm in constant contact of speaking in some way.,0.9275543689727783,0 days 00:00:07.100000,0 days 00:00:18,11/18/21,211118_001_me.wav
2, The only thing I'm really trying out to do. I feel like I'm failing at everything.,0.8466272354125977,0 days 00:00:20.900000,0 days 00:00:25.200000,11/18/21,211118_001_me.wav
3, Just realized everything I do is everything I say is a compositional a relaxed when some collection of my thoughts Solutions.,0.8264161348342896,0 days 00:00:26.800000,0 days 00:00:41,11/18/21,211118_001_me.wav
4, I'm not sure if I beat you.,0.8834105730056763,0 days 00:00:44.400000,0 days 00:00:45.500000,11/18/21,211118_001_me.wav
5," I would have to leave for the manifestation of the place of all things and got like some strange thing is that I deliberately place a distance between me and I deliberately tried to present myself. What I truly want to write its is skiing is other than I want to be seeing this great truth. Help me. I want to be seen as and more faster than more interesting. The draft somehow. There's so many things. I want to be seen as but the only thing uniting all of these desperate desperate. I'll leave your facts, right? I want to exist from different ski, I want to be",0.9544349312782288,0 days 00:00:49,0 days 00:01:41.100000,11/18/21,211118_001_me.wav
6, I mean to make I don't feel the result of an accident himself is premised upon my difference prices and everything. I am is just their difference will never be seen and perhaps I will be able to Foster thought through like a actions or a certain way of going about things that is like a relatively original of course. True originality is impossible in this world.,0.9379263520240784,0 days 00:01:47.200000,0 days 00:02:13.300000,11/18/21,211118_001_me.wav
7, There is a sense in which I can read strive for something.,0.8981464505195618,0 days 00:02:14.700000,0 days 00:02:17.400000,11/18/21,211118_001_me.wav
8, Indifference we're seeing. This is Forever on the unattainable.,0.8172042369842529,0 days 00:02:18.300000,0 days 00:02:23.900000,11/18/21,211118_001_me.wav
9, And I just feel like I'm the gate advice trying to be striving to be the same even though sanjana has the same Spirit as me. She know.,0.9168076515197754,0 days 00:02:26,0 days 00:02:33.500000,11/18/21,211118_001_me.wav
10," June, 7th me when she was holding the other day.",0.8626178503036499,0 days 00:02:35.500000,0 days 00:02:43.600000,11/18/21,211118_001_me.wav
11, When she was like because Axel isn't Kayaks with lots of traffic risible.,0.7557850480079651,0 days 00:02:51.200000,0 days 00:02:55,11/18/21,211118_001_me.wav
12," And this sarcastic, you is quite tremendous.",0.9629163146018982,0 days 00:02:58.600000,0 days 00:03:02.900000,11/18/21,211118_001_me.wav
13," Create tremendous to behold. I just thought of something out of one. I need to add that I need to figure out a way to do a machine learning things have any interest or you know different tones of speech to be labeled things to be attached to set up the queries to the GPT 3 Model. So keep that in mind. I'm just approaching hukumat. Ashik who I asked for a smoke. I'm in need of a cigarette, and I am most women either. That's why we're closed out, the stock presently, and my fortune, myself. Hello, who gone supposed to bring. I'm sorry for waking you.",0.9504311680793762,0 days 00:03:03.900000,0 days 00:03:44.500000,11/18/21,211118_001_me.wav
14," I realized I like continually speak to my son out loud as well. You don't do it. Yeah, but you are also having a constant for the flight. Whatever. I'm thinking. I was just meeting a fellow. And I was thinking about this fascinating way and with Thiago everything, y'all go thinks comes to be, right? And not like, thought itself is action. And I was thinking a lot about how the, how, like the culmination of my thoughts. As a young kid who's liked sport in the pan. And that's a really weird the way to have the wages of salvation of our conclusions that we have different points in a life when we have no control or like a critical to stand it. And yet we embody those conclusions and not something that's really interesting to me. I just I just I thought that like one of the most amazing thing about my language.",0.9711753726005554,0 days 00:03:47,0 days 00:04:43.900000,11/18/21,211118_001_me.wav
15," Record of my existence. I'm thinking about them more and more. And I'm like, you know, it doesn't sound too bad that, you know, of my of my life in salt before the action of cuts, and I know this might sound crazy, but like it it's there is something to it.",0.9087886810302734,0 days 00:04:47,0 days 00:05:08.100000,11/18/21,211118_001_me.wav
16, I didn't know enough enough.,0.8002718687057495,0 days 00:05:12.100000,0 days 00:05:19.700000,11/18/21,211118_001_me.wav
17," Because obviously, it seems like it's going to happen because I feel like it is a fascinating proposal definitely on Alden thing. Right? So I think you think why are you excited? I'm excited by, you know about by that project. I think of that possibly the worst like I do, not trust them in this life is so interesting. I'm right. And so it's like a very long time. Just ignoring. They've been focusing on like building.",0.9230236411094666,0 days 00:05:23.400000,0 days 00:06:18.700000,11/18/21,211118_001_me.wav
