,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,You have to call her in a walking a just left out.,0.7555665969848633,0 days 00:00:17,0 days 00:00:19.300000,02/26/22,220226_003_me.wav
1, And call them when drinking beers doing homework.,0.7863106727600098,0 days 00:00:21.300000,0 days 00:00:24.500000,02/26/22,220226_003_me.wav
2," You will see something cool off of sunshine. Is a whole text history from 16 on 100. How are you doing? In asking me how hot the sun is rising up from all the lost I was doing. This is just one of those one of their response inside of gave it to the question, but I still got my phone. I would have walked really exhausted and me to go I can go right away. I can sweep you from your feet and Magic masquerade. This is awesome. When I was 16, you know, what tax form like back then and be you what it what could I steal your persona Pops in a dream Pops in A Midsummer's Night Dream. This is about about this about whether I can still have the soda pops that can like this can happen in a dream pops up on A Midsummer's Night. Dream Pops in the summer yet to come with the haases at rest wrapped in White Satin moments quotes in a waltz. I don't know what that means.",0.9721675515174866,0 days 00:00:28.300000,0 days 00:01:24.300000,02/26/22,220226_003_me.wav
3," Garland city, so Serene pops went in the subway, train stops in the dark alley, in the strange town in the saving wild, all these references to pieces of my history. By the way. I'm pops was in this parking, lots of Times Square. A pops of a concert when hearing my favorite song, pops is in the forest orgasm with a lover in the springtime, passed in the negatives, perhaps in the negatives and positives, Hopsin Ill, Mind Hopsin, a dream, papson Avail, perhaps in your wake, where I dress like a purple butterfly passenger room hops in the sphere Pops in the spaces between the Stars passed Rising once more from the bottle, in the wall pops and ride zone is perhaps in the poem passed in the basic fucking French guitar song. We love the hat and a savannah, chopped is pops and train rides, and walks, Hogs hikes sleepless, nights and bleary eyes stops in moments of anxiety, Pops in the beauty of the Spire, the infinites, perhaps, in the conversation.",0.9616162180900574,0 days 00:01:28.200000,0 days 00:02:27.500000,02/26/22,220226_003_me.wav
4," Music and writing and beauty and love and hate and hate and love and hate and love once more. I have some hot pops of Bill in the Silence of the night. In the fuel transients, about human nature of his to go. Coexistence will approach God. Deep in the hyperborean pops. It is a fantasy beyond the tangible, but perhaps it is here in my house.",0.931026816368103,0 days 00:02:28.200000,0 days 00:02:47.600000,02/26/22,220226_003_me.wav
5," And that's like this generated by the computer and you know it like that it just please like these total just so there's like a proximation. So yeah, it's insane is insane fucking settings.",0.9211041927337646,0 days 00:02:49.100000,0 days 00:03:03.600000,02/26/22,220226_003_me.wav
6, It's getting old looking deeper into what hyperborea was that? We were probably talking about that. Anyway.,0.8988006711006165,0 days 00:03:04.800000,0 days 00:03:19.500000,02/26/22,220226_003_me.wav
7, That's a.,0.5390121340751648,0 days 00:03:23.900000,0 days 00:03:24.500000,02/26/22,220226_003_me.wav
8," Yeah, I bet I wouldn't even swim the things by no.",0.8789010643959045,0 days 00:03:26.500000,0 days 00:03:31,02/26/22,220226_003_me.wav
9," If I tried to down probably but like when you can do it, just incredibly difficult.",0.9514129757881165,0 days 00:03:32.400000,0 days 00:03:38.200000,02/26/22,220226_003_me.wav
10, So it's like I've convinced myself. I'm never going to try to land in line which went while not living there again.,0.8527669906616211,0 days 00:03:39.500000,0 days 00:03:45.400000,02/26/22,220226_003_me.wav
11, I wish I I just feel like you don't have Archie lawn it unless you actually like that cuz I think I think somehow like Wyatt. It's really cool that she's helping me with this much.,0.880604088306427,0 days 00:03:46.200000,0 days 00:03:54.900000,02/26/22,220226_003_me.wav
12, Not the English teacher. Now that the high school English teacher Vibe. She has a little bit of that in the best way possible.,0.8522394299507141,0 days 00:04:03.600000,0 days 00:04:13.600000,02/26/22,220226_003_me.wav
13, Really?,0.9390332698822021,0 days 00:04:14.800000,0 days 00:04:15.400000,02/26/22,220226_003_me.wav
14," Yeah, I got.",0.9098746180534363,0 days 00:04:16.500000,0 days 00:04:18.100000,02/26/22,220226_003_me.wav
15, Cool.,0.9205935597419739,0 days 00:04:21,0 days 00:04:21.500000,02/26/22,220226_003_me.wav
16, I'm leaving. I'm sorry.,0.8081387877464294,0 days 00:04:30.700000,0 days 00:04:36.600000,02/26/22,220226_003_me.wav
17," I'm sorry, the breeze, overhead.",0.8163993954658508,0 days 00:04:41.100000,0 days 00:04:45.200000,02/26/22,220226_003_me.wav
18, Facilities.,0.9486863017082214,0 days 00:04:48.500000,0 days 00:04:49.500000,02/26/22,220226_003_me.wav
19, My thing is about to die.,0.8935536742210388,0 days 00:06:38.400000,0 days 00:06:39.900000,02/26/22,220226_003_me.wav
20, Jesus Christ is Arbiter.,0.7859828472137451,0 days 00:06:44.500000,0 days 00:06:46.600000,02/26/22,220226_003_me.wav
21, I think.,0.9535609483718872,0 days 00:06:52.100000,0 days 00:06:55.100000,02/26/22,220226_003_me.wav
22," I think I'm almost all of it switches, you know, like that, you know, if like someone is like a really abusive boyfriend or something like that or like something someone had a really bad relationship and something was really terrible. And then one of the people break up over text because I might be like, scatter passing might be like, whatever, whatever, and the other person doesn't think about anything that they did wrong, but that instantly Justified because oh, they broke up of a text. That's all that matters to me. You know, I mean, it's almost the same thing. I think the only thing that thinking about is the actual distance between the fact that when she broke up and when you guys got together and I think that is, the only thing people are looking at it, instead of thinking about anything else that only thinking about that and stop being like, you know, it's sort of like you broke up with taxable. No, no. No. I'm saying that it's the same thing as as that in, which is like gas. It's technically a bad thing to do, but like you're guessing like",0.9745744466781616,0 days 00:06:57.600000,0 days 00:07:56.800000,02/26/22,220226_003_me.wav
23, Chocolate.,0.7896762490272522,0 days 00:08:00.400000,0 days 00:08:01.500000,02/26/22,220226_003_me.wav
24, They're still in a relationship.,0.9255770444869995,0 days 00:08:09.100000,0 days 00:08:10,02/26/22,220226_003_me.wav
25," again, it's okay to like maybe assume something like",0.8969801664352417,0 days 00:08:11.900000,0 days 00:08:19.700000,02/26/22,220226_003_me.wav
26, How did he find out?,0.9423106908798218,0 days 00:08:50.800000,0 days 00:08:51.700000,02/26/22,220226_003_me.wav
27, I do understand like like why it like is like hot full. It's like you guys will like living together all summer.,0.8245466351509094,0 days 00:09:02.400000,0 days 00:09:08.900000,02/26/22,220226_003_me.wav
28, I get it went from like him still. They're like I hate her. She became like a She-Devil.,0.8555126190185547,0 days 00:09:16.600000,0 days 00:09:23.700000,02/26/22,220226_003_me.wav
29," It was totally about like, what?",0.9702666401863098,0 days 00:09:28.200000,0 days 00:09:31.300000,02/26/22,220226_003_me.wav
30," They had together right? Well, I mean I would like it's sort of like it's almost like an easiest thing for the mind to do. If you like defensive, you know, it's like immediately you got like this doesn't like it. The same thing with the, you know, the text conversation, you know, it's like he has a lot of like, small, like normal things that like out with me. I'll put it like it.",0.9164875149726868,0 days 00:09:32.600000,0 days 00:09:54.300000,02/26/22,220226_003_me.wav
31," Yeah, very quickly. Just be like this person is that she liked it, the devil pipe in his mind. And then for his friends, as well, as soon as they sort of, like also will accept an easy explanation over the more ambiguous one.",0.9217714071273804,0 days 00:09:58.200000,0 days 00:10:11.300000,02/26/22,220226_003_me.wav
32, Psycho reason why I'm not as well.,0.5887998342514038,0 days 00:10:14.200000,0 days 00:10:16.500000,02/26/22,220226_003_me.wav
