,sentence,sentence_confidence,start_time,end_time,date,original_audio
0,Honey.,0.8141847848892212,0 days 00:01:07.200000,0 days 00:01:07.800000,03/28/22,220328_003_others.wav
1, Call me about asking.,0.5662924647331238,0 days 00:01:11.800000,0 days 00:01:12.800000,03/28/22,220328_003_others.wav
2, Yeah.,0.8483380675315857,0 days 00:01:21.600000,0 days 00:01:22.100000,03/28/22,220328_003_others.wav
3," oh, I'm so hungry, but I was for lunch, but I",0.9052131772041321,0 days 00:01:40,0 days 00:01:45.900000,03/28/22,220328_003_others.wav
4, I like stock.,0.5861876606941223,0 days 00:01:47.700000,0 days 00:01:49.200000,03/28/22,220328_003_others.wav
5, I would ever live in numerous $1.,0.7606341242790222,0 days 00:01:58.600000,0 days 00:02:01.200000,03/28/22,220328_003_others.wav
6, Team members at each.,0.6112060546875,0 days 00:02:03.200000,0 days 00:02:04.900000,03/28/22,220328_003_others.wav
7, Texas.,0.3921297490596771,0 days 00:02:08.400000,0 days 00:02:08.900000,03/28/22,220328_003_others.wav
8," Tries not to have people do, which is buy and sell a lot when they're retail investors.",0.9243021011352539,0 days 00:02:09.900000,0 days 00:02:15.700000,03/28/22,220328_003_others.wav
9, What do you mean?,0.8622351884841919,0 days 00:02:17.700000,0 days 00:02:18.400000,03/28/22,220328_003_others.wav
10, If you're not.,0.8902550339698792,0 days 00:02:21.200000,0 days 00:02:23.100000,03/28/22,220328_003_others.wav
11," Okay. To like,",0.9323504567146301,0 days 00:02:28.100000,0 days 00:02:31.800000,03/28/22,220328_003_others.wav
12," and,",0.9501684308052063,0 days 00:02:37.700000,0 days 00:02:38.200000,03/28/22,220328_003_others.wav
13," Yeah, thing is, I was just, I was just, I was just like, figuring out how everything what cuz it's how I was liking something in half out.",0.8586717247962952,0 days 00:02:39.700000,0 days 00:02:49.600000,03/28/22,220328_003_others.wav
14, With the Americans.,0.8601688742637634,0 days 00:02:54.300000,0 days 00:02:55.100000,03/28/22,220328_003_others.wav
